hierarchy,industry_jp,row_no,n_enterprises,sample_enterprises,total_employees,total_sales_100mn_yen,n_rd_enterprises,rd_enterprise_share_pct,n_inhouse_rd_enterprises,rd_enterprise_employees,rd_enterprise_sales_100mn_yen,researchers,researchers_total,rd_expenditure_mn_yen,external_research_expenditure_mn_yen,rd_expenditure_to_sales_pct
1,全産業,1,502474.0,11354.0,23155280.0,,17724.0,3.5,16773.0,6555371.0,,626709.0,523548.0,16119874.0,2251.0,
2,全産業(資本金)1000万円～1億円未満,2,480088.0,3871.0,12547961.0,,11295.0,2.4,10717.0,1033209.0,,51770.0,43472.0,551135.0,1110.0,
2,全産業(資本金)1億円～10億円未満,3,17917.0,3333.0,4474236.0,,4290.0,23.9,4026.0,1344150.0,,92151.0,81874.0,1751961.0,616.0,
2,全産業(資本金)10億円～100億円未満,4,3261.0,2954.0,2174871.0,,1510.0,46.3,1442.0,1264609.0,,108969.0,97654.0,2231319.0,254.0,
2,全産業(資本金)100億円以上,5,1209.0,1196.0,3958213.0,,629.0,52.0,588.0,2913403.0,,373819.0,300548.0,11585458.0,271.0,
1,金融業，保険業を除く全産業,6,493852.0,10809.0,22310016.0,12558543.0,17693.0,3.6,16753.0,6425710.0,5235558.0,625901.0,522819.0,16107257.0,2250.0,3.08
2,金融業，保険業を除く全産業(資本金)1000万円～1億円未満,7,473036.0,3852.0,12503466.0,4043763.0,11295.0,2.4,10717.0,1033209.0,321292.0,51770.0,43472.0,551135.0,1110.0,1.72
2,金融業，保険業を除く全産業(資本金)1億円～10億円未満,8,16853.0,3291.0,4411643.0,2778472.0,4288.0,25.4,4024.0,1339552.0,793524.0,92066.0,81819.0,1751027.0,616.0,2.21
2,金融業，保険業を除く全産業(資本金)10億円～100億円未満,9,3002.0,2717.0,2119887.0,1742137.0,1498.0,49.9,1435.0,1260942.0,872043.0,108896.0,97608.0,2230584.0,254.0,2.56
2,金融業，保険業を除く全産業(資本金)100億円以上,10,961.0,949.0,3275020.0,3994171.0,612.0,63.7,577.0,2792008.0,3248699.0,373169.0,299919.0,11574511.0,270.0,3.56
2,農林水産業,11,5444.0,46.0,120935.0,40668.0,120.0,2.2,68.0,21794.0,6707.0,825.0,464.0,10293.0,2.0,1.53
3,農林水産業(資本金)1000万円～1億円未満,12,5224.0,30.0,86917.0,28354.0,10.0,0.2,10.0,1552.0,459.0,95.0,44.0,845.0,1.0,1.84
3,農林水産業(資本金)1億円～10億円未満,13,213.0,10.0,21098.0,8754.0,107.0,50.5,56.0,12970.0,,,,,1.0,1.69
3,農林水産業(資本金)10億円～100億円未満,14,7.0,6.0,12920.0,3560.0,3.0,42.9,2.0,7272.0,,,,,,0.93
3,農林水産業(資本金)100億円以上,15,,,,,,,,,,,,,,
2,鉱業，採石業，砂利採取業,16,797.0,44.0,16781.0,24108.0,6.0,0.8,5.0,4033.0,5259.0,96.0,61.0,7948.0,3.0,1.51
3,鉱業，採石業，砂利採取業(資本金)1000万円～1億円未満,17,741.0,13.0,10144.0,3187.0,2.0,0.3,2.0,87.0,,,,,,0.5
3,鉱業，採石業，砂利採取業(資本金)1億円～10億円未満,18,32.0,8.0,1598.0,1096.0,1.0,3.1,1.0,11.0,,,,,1.0,38.47
3,鉱業，採石業，砂利採取業(資本金)10億円～100億円未満,19,10.0,9.0,314.0,7350.0,,,,,,,,,,
3,鉱業，採石業，砂利採取業(資本金)100億円以上,20,14.0,14.0,4725.0,12475.0,3.0,21.4,2.0,3935.0,,,,,2.0,1.48
