industry_code_4d,industry_name_jp,establishments,employment,shipments_mn_yen,value_added_mn_yen,region,pref_code,pref_name
1651,医薬品原薬製造業,112.0,10171.0,309963.79,135929.18,japan,00,Japan
1652,医薬品製剤製造業,517.0,78596.0,7745883.09,4001977.51,japan,00,Japan
1655,動物用医薬品製造業,17.0,1598.0,3020.61,859.56,japan,00,Japan
2671,半導体製造装置製造業,1417.0,77445.0,3209895.4,1163648.91,japan,00,Japan
2694,ロボット製造業,398.0,20978.0,947434.31,420032.68,japan,00,Japan
2738,理化学機械器具製造業,144.0,4212.0,61750.119999999995,28223.59,japan,00,Japan
2739,その他の計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,438.0,18845.0,545590.04,230812.04,japan,00,Japan
2741,医療用機械器具製造業,579.0,42476.0,1042856.48,426529.82,japan,00,Japan
2743,医療用品製造業（動物用医療機械器具を含む）,305.0,7371.0,114158.65000000001,68806.84,japan,00,Japan
2753,光学機械用レンズ・プリズム製造業,208.0,15229.0,299116.31,114469.38,japan,00,Japan
2811,電子管製造業,15.0,3989.0,42854.6,27842.5,japan,00,Japan
2813,半導体素子製造業（光電変換素子を除く）,90.0,22899.0,759071.48,221417.7,japan,00,Japan
2831,半導体メモリメディア製造業,9.0,1028.0,0.0,0.0,japan,00,Japan
2841,電子回路基板製造業,408.0,40800.0,1138085.62,464505.11,japan,00,Japan
2842,電子回路実装基板製造業,701.0,38783.0,894667.14,235373.35,japan,00,Japan
2899,その他の電子部品・デバイス・電子回路製造業,1330.0,104216.0,2948107.68,1181420.12,japan,00,Japan
2911,発電機・電動機・その他の回転電気機械製造業,514.0,36538.0,1264340.28,445277.95,japan,00,Japan
2912,変圧器類製造業（電子機器用を除く),251.0,15532.0,494025.95,150219.37,japan,00,Japan
2921,電気溶接機製造業,90.0,2840.0,69518.16,27832.96,japan,00,Japan
2929,その他の産業用電気機械器具製造業（車両用、船舶用を含む）,613.0,27919.0,717922.06,230476.98,japan,00,Japan
2962,医療用電子応用装置製造業,65.0,3713.0,159219.06,101213.84,japan,00,Japan
2969,その他の電子応用装置製造業,347.0,17250.0,472769.97,167933.97,japan,00,Japan
2971,電気計測器製造業（別掲を除く）,396.0,22567.0,681921.6000000001,320911.82,japan,00,Japan
2973,医療用計測器製造業,121.0,12329.0,406947.47000000003,166905.36,japan,00,Japan
