year,value,annual_growth_pct
2010,130091252319.0,
2011,133397946551.0,2.541826735506847
2012,129463812214.0,-2.9491715867574597
2013,111257955701.0,-14.062506117853413
2014,107543978073.0,-3.3381681378193973
2015,98394425742.0,-8.507730971965122
2016,99260695081.0,0.8804048933335418
2017,106357714667.0,7.149878993098535
2018,110919852153.0,4.289427899314879
2019,104081423307.0,-6.165198306041053
2020,102929600738.0,-1.1066552823769227
2021,116695460286.0,13.374053187129341
2022,113492876284.0,-2.744394678379969
2023,102601446852.0,-9.596575387468132
2024,102451366263.0,-0.14627531443731634
