region,region_label,div_code,establishments,establishments_japan,lq
tokyo_ma,Tokyo Metropolitan Area,A,6452.0,77279.0,0.3245141786632266
tokyo_ma,Tokyo Metropolitan Area,AB,3329.0,42458.0,0.30475797141578287
tokyo_ma,Tokyo Metropolitan Area,B,200.0,7599.0,0.1022997006283558
tokyo_ma,Tokyo Metropolitan Area,C,362.0,3730.0,0.3772250722213204
tokyo_ma,Tokyo Metropolitan Area,CR,1323202.0,5113605.0,1.0057725588991775
tokyo_ma,Tokyo Metropolitan Area,D,231806.0,970226.0,0.9286510966769941
tokyo_ma,Tokyo Metropolitan Area,E,180555.0,825120.0,0.8505370120370018
tokyo_ma,Tokyo Metropolitan Area,F,3530.0,18274.0,0.7508304833408973
tokyo_ma,Tokyo Metropolitan Area,G,37524.0,76559.0,1.9050820576620409
tokyo_ma,Tokyo Metropolitan Area,G1,24159.0,48565.0,1.9335542977848166
tokyo_ma,Tokyo Metropolitan Area,G2,50880.0,104534.0,1.8918658822875656
tokyo_ma,Tokyo Metropolitan Area,H,67880.0,256433.0,1.0288894926566114
tokyo_ma,Tokyo Metropolitan Area,I,296639.0,1228920.0,0.9382216446912169
tokyo_ma,Tokyo Metropolitan Area,I1,186016.0,697594.0,1.0364500488158448
tokyo_ma,Tokyo Metropolitan Area,I2,407130.0,1759823.0,0.8992178668273292
tokyo_ma,Tokyo Metropolitan Area,J,43201.0,167700.0,1.0012938502880055
tokyo_ma,Tokyo Metropolitan Area,K,123430.0,374456.0,1.2812112600277725
tokyo_ma,Tokyo Metropolitan Area,K1,232919.0,689055.0,1.313868316992221
tokyo_ma,Tokyo Metropolitan Area,K2,13876.0,59718.0,0.9031499211576892
tokyo_ma,Tokyo Metropolitan Area,L,167814.0,504631.0,1.2925729848494762
tokyo_ma,Tokyo Metropolitan Area,M,152815.0,599058.0,0.9915118868525012
tokyo_ma,Tokyo Metropolitan Area,M1,13460.0,90144.0,0.5803754671141633
tokyo_ma,Tokyo Metropolitan Area,M2,292154.0,1107878.0,1.024992553048825
tokyo_ma,Tokyo Metropolitan Area,N,209036.0,868366.0,0.9356622055443887
tokyo_ma,Tokyo Metropolitan Area,O,45520.0,163357.0,1.0830919198261584
tokyo_ma,Tokyo Metropolitan Area,O1,10734.0,41216.0,1.01227045476923
tokyo_ma,Tokyo Metropolitan Area,O2,80306.0,285498.0,1.093316080779252
tokyo_ma,Tokyo Metropolitan Area,P,247806.0,925036.0,1.0412475546146562
tokyo_ma,Tokyo Metropolitan Area,Q,4632.0,32131.0,0.5603316063843056
tokyo_ma,Tokyo Metropolitan Area,Q1,7080.0,46838.0,0.587537684095192
tokyo_ma,Tokyo Metropolitan Area,Q2,2184.0,17424.0,0.487198096982188
tokyo_ma,Tokyo Metropolitan Area,R,86584.0,369212.0,0.911512542992685
tokyo_ma,Tokyo Metropolitan Area,R1,54979.0,306122.0,0.6980766409338695
tokyo_ma,Tokyo Metropolitan Area,R2,118135.0,432117.0,1.0626201450211452
osaka_kansai,Osaka/Kansai Metropolitan Area,A,3976.0,77279.0,0.35675361996030336
osaka_kansai,Osaka/Kansai Metropolitan Area,AB,2109.0,42458.0,0.34442966836114913
osaka_kansai,Osaka/Kansai Metropolitan Area,B,239.0,7599.0,0.21808458185161886
osaka_kansai,Osaka/Kansai Metropolitan Area,C,158.0,3730.0,0.29371881109122167
osaka_kansai,Osaka/Kansai Metropolitan Area,CR,741483.0,5113605.0,1.0054431668344979
osaka_kansai,Osaka/Kansai Metropolitan Area,D,112095.0,970226.0,0.8011186443796516
osaka_kansai,Osaka/Kansai Metropolitan Area,E,143458.0,825120.0,1.2055664802548576
osaka_kansai,Osaka/Kansai Metropolitan Area,F,1535.0,18274.0,0.5824494851380962
osaka_kansai,Osaka/Kansai Metropolitan Area,G,10266.0,76559.0,0.929797799999955
osaka_kansai,Osaka/Kansai Metropolitan Area,G1,5888.0,48565.0,0.8406745783349304
osaka_kansai,Osaka/Kansai Metropolitan Area,G2,14640.0,104534.0,0.9711068424119146
osaka_kansai,Osaka/Kansai Metropolitan Area,H,36700.0,256433.0,0.9923746402899435
osaka_kansai,Osaka/Kansai Metropolitan Area,I,175046.0,1228920.0,0.9876705068884296
osaka_kansai,Osaka/Kansai Metropolitan Area,I1,111267.0,697594.0,1.1059796819292804
osaka_kansai,Osaka/Kansai Metropolitan Area,I2,238763.0,1759823.0,0.9407658501692479
osaka_kansai,Osaka/Kansai Metropolitan Area,J,21414.0,167700.0,0.8854177870080946
osaka_kansai,Osaka/Kansai Metropolitan Area,K,62886.0,374456.0,1.1644924685591826
osaka_kansai,Osaka/Kansai Metropolitan Area,K1,117909.0,689055.0,1.186524128189521
osaka_kansai,Osaka/Kansai Metropolitan Area,K2,7834.0,59718.0,0.9096238088542088
osaka_kansai,Osaka/Kansai Metropolitan Area,L,75364.0,504631.0,1.035555837616352
osaka_kansai,Osaka/Kansai Metropolitan Area,M,88835.0,599058.0,1.0282500538045867
osaka_kansai,Osaka/Kansai Metropolitan Area,M1,8430.0,90144.0,0.6484466572240578
osaka_kansai,Osaka/Kansai Metropolitan Area,M2,169201.0,1107878.0,1.0589964239756968
osaka_kansai,Osaka/Kansai Metropolitan Area,N,112101.0,868366.0,0.8951383884562469
osaka_kansai,Osaka/Kansai Metropolitan Area,O,24957.0,163357.0,1.0593467446480889
osaka_kansai,Osaka/Kansai Metropolitan Area,O1,6320.0,41216.0,1.0632484135969107
osaka_kansai,Osaka/Kansai Metropolitan Area,O2,43594.0,285498.0,1.0587834791001878
osaka_kansai,Osaka/Kansai Metropolitan Area,P,144799.0,925036.0,1.0854015423227854
osaka_kansai,Osaka/Kansai Metropolitan Area,Q,3537.0,32131.0,0.7632983509979514
