region,region_label,industry_code_2d,establishments,establishments_japan,lq,industry_en,is_hightech
tokyo_ma,Tokyo Metropolitan Area,09,2762.0,21624.0,0.7105944695564456,,False
tokyo_ma,Tokyo Metropolitan Area,10,285.0,4093.0,0.387380091083012,,False
tokyo_ma,Tokyo Metropolitan Area,11,807.0,9448.0,0.4751905897588402,,False
tokyo_ma,Tokyo Metropolitan Area,12,317.0,4546.0,0.387939509542592,,False
tokyo_ma,Tokyo Metropolitan Area,13,655.0,4241.0,0.8592256021095762,,False
tokyo_ma,Tokyo Metropolitan Area,14,1032.0,5043.0,1.1384787025353584,,False
tokyo_ma,Tokyo Metropolitan Area,15,2937.0,9306.0,1.7558001423347813,,False
tokyo_ma,Tokyo Metropolitan Area,16,1143.0,4978.0,1.2773959053051418,Chemicals & Adv. Materials,True
tokyo_ma,Tokyo Metropolitan Area,17,159.0,979.0,0.903542559846747,,False
tokyo_ma,Tokyo Metropolitan Area,18,2145.0,11680.0,1.0216888064653744,,False
tokyo_ma,Tokyo Metropolitan Area,19,488.0,2009.0,1.3513693569249794,,False
tokyo_ma,Tokyo Metropolitan Area,20,313.0,863.0,2.01775170704912,,False
tokyo_ma,Tokyo Metropolitan Area,21,953.0,9058.0,0.5853218894613031,,False
tokyo_ma,Tokyo Metropolitan Area,22,654.0,4213.0,0.8636155843217197,,False
tokyo_ma,Tokyo Metropolitan Area,23,540.0,2533.0,1.1860220180127508,,False
tokyo_ma,Tokyo Metropolitan Area,24,4878.0,24094.0,1.126333682121035,,False
tokyo_ma,Tokyo Metropolitan Area,25,1236.0,6555.0,1.0490107923637888,General-Purpose Machinery,True
tokyo_ma,Tokyo Metropolitan Area,26,3298.0,18138.0,1.0115688220375811,Production Machinery & Robotics,True
tokyo_ma,Tokyo Metropolitan Area,27,1235.0,3786.0,1.814765563165697,Business Machinery & Medical Devices,True
tokyo_ma,Tokyo Metropolitan Area,28,867.0,3841.0,1.2557667274147357,Electronic Parts & Circuits,True
tokyo_ma,Tokyo Metropolitan Area,29,1763.0,8191.0,1.1974284375753792,Electrical Machinery,True
tokyo_ma,Tokyo Metropolitan Area,30,372.0,1135.0,1.8233971007423442,ICT Equipment,True
tokyo_ma,Tokyo Metropolitan Area,31,1402.0,9718.0,0.802611356516748,,False
tokyo_ma,Tokyo Metropolitan Area,32,1549.0,6786.0,1.2699064938296531,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,09,2257.0,21624.0,0.682472377110538,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,10,337.0,4093.0,0.5383661033008579,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,11,1728.0,9448.0,1.1958959779471925,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,12,456.0,4546.0,0.6558808683862994,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,13,580.0,4241.0,0.8942300765174487,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,14,900.0,5043.0,1.1669253998575868,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,15,1624.0,9306.0,1.1410706332075435,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,16,1063.0,4978.0,1.3962652322095361,Chemicals & Adv. Materials,True
osaka_kansai,Osaka/Kansai Metropolitan Area,17,106.0,979.0,0.7079665280865644,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,18,1930.0,11680.0,1.0804483682990766,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,19,358.0,2009.0,1.1651789808918134,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,20,279.0,863.0,2.113892798794161,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,21,803.0,9058.0,0.5796592634577038,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,22,922.0,4213.0,1.4309650071857556,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,23,464.0,2533.0,1.1977669970818792,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,24,4626.0,24094.0,1.2554119958585748,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,25,1301.0,6555.0,1.2977593073511033,General-Purpose Machinery,True
osaka_kansai,Osaka/Kansai Metropolitan Area,26,2895.0,18138.0,1.0436352085455851,Production Machinery & Robotics,True
osaka_kansai,Osaka/Kansai Metropolitan Area,27,552.0,3786.0,0.9533404486992895,Business Machinery & Medical Devices,True
osaka_kansai,Osaka/Kansai Metropolitan Area,28,380.0,3841.0,0.6468876220784773,Electronic Parts & Circuits,True
osaka_kansai,Osaka/Kansai Metropolitan Area,29,1399.0,8191.0,1.1167869753093576,Electrical Machinery,True
osaka_kansai,Osaka/Kansai Metropolitan Area,30,109.0,1135.0,0.6279429488707953,ICT Equipment,True
osaka_kansai,Osaka/Kansai Metropolitan Area,31,905.0,9718.0,0.6089213985835035,,False
osaka_kansai,Osaka/Kansai Metropolitan Area,32,1074.0,6786.0,1.0348561328963983,,False
