hierarchy,industry_jp,row_no,n_research_performers,rd_expenditure_mn_yen,personnel_costs_mn_yen,raw_materials_mn_yen,tangible_fixed_assets_mn_yen,intangible_fixed_assets_mn_yen,lease_fees_mn_yen,other_expenses_mn_yen,received_research_funds_mn_yen,external_research_expenditure_mn_yen
1,総数,1,22644.0,22049657.0,8878242.0,2560319.0,2158539.0,333384.0,80689.0,8038485.0,4900130.0,4374094.0
2,企業,2,17724.0,16119874.0,5875267.0,2048774.0,1427622.0,318742.0,36767.0,6412702.0,1000811.0,2762497.0
2,非営利団体,3,405.0,227995.0,75900.0,43761.0,22654.0,1753.0,2752.0,81176.0,171641.0,22777.0
2,公的機関,4,509.0,1765245.0,436478.0,228394.0,337698.0,9502.0,15648.0,737525.0,2866019.0,1564424.0
3,公的機関_国営,5,26.0,376585.0,41588.0,139028.0,40442.0,221.0,1037.0,154270.0,7124.0,12905.0
3,公的機関_公営,6,392.0,160796.0,98348.0,9888.0,11891.0,101.0,1962.0,38607.0,10158.0,1284.0
3,公的機関_特殊法人・独立行政法人,7,91.0,1227863.0,296542.0,79478.0,285366.0,9180.0,12649.0,544648.0,2848737.0,1550235.0
4,公的機関_特殊法人・独立行政法人_うち研究開発法人,8,33.0,1141880.0,256633.0,74541.0,275159.0,8570.0,12170.0,514807.0,2780119.0,1540824.0
5,公的機関_特殊法人・独立行政法人_うち研究開発法人_うち国立研究開発法人,9,27.0,1124707.0,252452.0,74149.0,273348.0,8544.0,12096.0,504118.0,2445691.0,1293834.0
2,大学等,10,4006.0,3936544.0,2490597.0,239390.0,370565.0,3386.0,25522.0,807083.0,861659.0,24396.0
3,大学等_国立,11,1175.0,1598921.0,873833.0,131229.0,183842.0,1785.0,17022.0,391209.0,587812.0,19499.0
3,大学等_公立,12,279.0,267098.0,189817.0,7873.0,30686.0,181.0,746.0,37795.0,41502.0,918.0
3,大学等_私立,13,2552.0,2070525.0,1426947.0,100289.0,156037.0,1420.0,7754.0,378079.0,232345.0,3979.0
2,(学問区分)自然科学_非営利団体・公的機関・大学等（計）,14,2375.0,4632458.0,2035185.0,495394.0,658741.0,13775.0,38957.0,1390406.0,2353446.0,273689.0
3,(学問区分)自然科学_非営利団体,15,290.0,215484.0,69109.0,43298.0,22528.0,1688.0,2703.0,76157.0,161278.0,20319.0
3,(学問区分)自然科学_公的機関,16,431.0,1731011.0,418211.0,228381.0,335144.0,9470.0,14797.0,725007.0,1440615.0,231006.0
4,(学問区分)自然科学_公的機関_国営,17,18.0,369613.0,37623.0,139028.0,40414.0,202.0,760.0,151587.0,7008.0,12738.0
4,(学問区分)自然科学_公的機関_公営,18,342.0,154225.0,93800.0,9879.0,11838.0,101.0,1648.0,36959.0,9851.0,1147.0
4,(学問区分)自然科学_公的機関_特殊法人・独立行政法人,19,71.0,1207172.0,286789.0,79474.0,282892.0,9167.0,12390.0,536461.0,1423755.0,217121.0
3,(学問区分)自然科学_大学等,20,1654.0,2685963.0,1547864.0,223715.0,301069.0,2617.0,21457.0,589241.0,751553.0,22363.0
4,(学問区分)自然科学_大学等_国立,21,738.0,1335897.0,678282.0,126587.0,172005.0,1685.0,16348.0,340991.0,548563.0,18324.0
4,(学問区分)自然科学_大学等_公立,22,142.0,200656.0,137439.0,7101.0,25467.0,154.0,594.0,29900.0,37607.0,885.0
4,(学問区分)自然科学_大学等_私立,23,774.0,1149410.0,732143.0,90027.0,103597.0,778.0,4515.0,218351.0,165383.0,3154.0
2,(学問区分)人文・社会科学_非営利団体・公的機関・大学等（計）,24,2505.0,1297326.0,967790.0,16150.0,72176.0,867.0,4965.0,235378.0,140200.0,3570.0
3,(学問区分)人文・社会科学_非営利団体,25,84.0,12511.0,6790.0,462.0,126.0,65.0,49.0,5019.0,8868.0,1001.0
3,(学問区分)人文・社会科学_公的機関,26,69.0,34234.0,18266.0,13.0,2554.0,32.0,851.0,12517.0,21226.0,537.0
4,(学問区分)人文・社会科学_公的機関_国営,27,8.0,6972.0,3965.0,,28.0,19.0,277.0,2683.0,116.0,167.0
4,(学問区分)人文・社会科学_公的機関_公営,28,48.0,6571.0,4548.0,8.0,52.0,0.0,314.0,1648.0,232.0,57.0
4,(学問区分)人文・社会科学_公的機関_特殊法人・独立行政法人,29,13.0,20691.0,9753.0,4.0,2474.0,13.0,260.0,8187.0,20878.0,313.0
3,(学問区分)人文・社会科学_大学等,30,2352.0,1250581.0,942733.0,15676.0,69496.0,770.0,4065.0,217841.0,110106.0,2032.0
4,(学問区分)人文・社会科学_大学等_国立,31,437.0,263023.0,195551.0,4642.0,11838.0,100.0,675.0,50218.0,39249.0,1175.0
4,(学問区分)人文・社会科学_大学等_公立,32,137.0,66443.0,52378.0,772.0,5219.0,27.0,152.0,7895.0,3895.0,32.0
4,(学問区分)人文・社会科学_大学等_私立,33,1778.0,921115.0,694805.0,10262.0,52439.0,642.0,3239.0,159728.0,66962.0,825.0
