hierarchy,industry_jp,row_no,n_research_performers,total_rd_personnel,researchers,research_assistants,technicians,other_rd_staff
1,総数,1,22644.0,1135533.0,907363.0,75371.0,57122.0,95677.0
2,企業,2,17724.0,626709.0,523548.0,45399.0,35318.0,22444.0
2,非営利団体,3,405.0,12278.0,8076.0,1151.0,1500.0,1551.0
2,公的機関,4,509.0,63312.0,30015.0,9883.0,7120.0,16294.0
3,公的機関_国営,5,26.0,4893.0,2476.0,524.0,37.0,1856.0
3,公的機関_公営,6,392.0,16040.0,9014.0,2495.0,1910.0,2621.0
3,公的機関_特殊法人・独立行政法人,7,91.0,42379.0,18525.0,6864.0,5173.0,11817.0
4,公的機関_特殊法人・独立行政法人_うち研究開発法人,8,33.0,36749.0,15273.0,6170.0,4623.0,10683.0
5,公的機関_特殊法人・独立行政法人_うち研究開発法人_うち国立研究開発法人,9,27.0,36098.0,14979.0,6055.0,4595.0,10469.0
2,大学等,10,4006.0,433234.0,345724.0,18938.0,13184.0,55388.0
3,大学等_国立,11,1175.0,205167.0,154847.0,10346.0,10630.0,29344.0
3,大学等_公立,12,279.0,33997.0,28131.0,1781.0,423.0,3662.0
3,大学等_私立,13,2552.0,194070.0,162746.0,6811.0,2131.0,22382.0
2,(学問区分)自然科学_非営利団体・公的機関・大学等（計）,14,2375.0,381233.0,278739.0,26073.0,20867.0,55554.0
3,(学問区分)自然科学_非営利団体,15,290.0,11130.0,7221.0,1030.0,1456.0,1423.0
3,(学問区分)自然科学_公的機関,16,431.0,60675.0,28504.0,9495.0,6954.0,15722.0
4,(学問区分)自然科学_公的機関_国営,17,18.0,4375.0,2245.0,502.0,37.0,1591.0
4,(学問区分)自然科学_公的機関_公営,18,342.0,15322.0,8484.0,2377.0,1910.0,2551.0
4,(学問区分)自然科学_公的機関_特殊法人・独立行政法人,19,71.0,40978.0,17775.0,6616.0,5007.0,11580.0
3,(学問区分)自然科学_大学等,20,1654.0,309428.0,243014.0,15548.0,12457.0,38409.0
4,(学問区分)自然科学_大学等_国立,21,738.0,167270.0,125099.0,9050.0,10165.0,22956.0
4,(学問区分)自然科学_大学等_公立,22,142.0,27061.0,22317.0,1648.0,383.0,2713.0
4,(学問区分)自然科学_大学等_私立,23,774.0,115097.0,95598.0,4850.0,1909.0,12740.0
2,(学問区分)人文・社会科学_非営利団体・公的機関・大学等（計）,24,2505.0,127591.0,105076.0,3899.0,937.0,17679.0
3,(学問区分)人文・社会科学_非営利団体,25,84.0,1148.0,855.0,121.0,44.0,128.0
3,(学問区分)人文・社会科学_公的機関,26,69.0,2637.0,1511.0,388.0,166.0,572.0
4,(学問区分)人文・社会科学_公的機関_国営,27,8.0,518.0,231.0,22.0,,265.0
4,(学問区分)人文・社会科学_公的機関_公営,28,48.0,718.0,530.0,118.0,,70.0
4,(学問区分)人文・社会科学_公的機関_特殊法人・独立行政法人,29,13.0,1401.0,750.0,248.0,166.0,237.0
3,(学問区分)人文・社会科学_大学等,30,2352.0,123806.0,102710.0,3390.0,727.0,16979.0
4,(学問区分)人文・社会科学_大学等_国立,31,437.0,37897.0,29748.0,1296.0,465.0,6388.0
4,(学問区分)人文・社会科学_大学等_公立,32,137.0,6936.0,5814.0,133.0,40.0,949.0
4,(学問区分)人文・社会科学_大学等_私立,33,1778.0,78973.0,67148.0,1961.0,222.0,9642.0
