hierarchy,industry_jp,row_no,tech_receipts_mn_yen,tech_receipts_east_southeast_asia_mn_yen,tech_receipts_west_asia_mn_yen,tech_receipts_north_america_mn_yen,tech_receipts_south_america_mn_yen,tech_receipts_europe_mn_yen,tech_receipts_other_mn_yen,tech_payments_mn_yen,tech_payments_north_america_mn_yen,tech_payments_europe_mn_yen,tech_payments_other_mn_yen
1,全産業,1,5047643.0,1741275.0,36887.0,2286317.0,98780.0,852929.0,31454.0,685760.0,451815.0,203237.0,30708.0
2,農林水産業,2,,,,,,,,,,,
2,鉱業，採石業，砂利採取業,3,,,,,,,,,,,
2,建設業,4,2963.0,2535.0,,419.0,8.0,,,234.0,97.0,68.0,69.0
2,製造業,5,4724876.0,1595113.0,33979.0,2177602.0,96082.0,798924.0,23176.0,456862.0,285531.0,152778.0,18554.0
3,食料品製造業,6,21336.0,13692.0,,3271.0,2690.0,1683.0,,23365.0,114.0,23026.0,224.0
3,繊維工業,7,,,,,,,,118.0,,113.0,5.0
3,パルプ・紙・紙加工品製造業,8,236.0,112.0,,2.0,,121.0,,,,,
3,印刷・同関連業,9,,,,,,,,,,,
3,医薬品製造業,10,979744.0,11912.0,329.0,435689.0,21.0,531686.0,107.0,253013.0,177623.0,72968.0,2422.0
3,化学工業,11,119926.0,87766.0,180.0,18456.0,130.0,13243.0,151.0,18152.0,12816.0,4945.0,390.0
4,総合化学工業,12,78713.0,55653.0,41.0,13147.0,26.0,9793.0,52.0,9959.0,8355.0,1237.0,367.0
4,油脂･塗料製造業,13,21303.0,15038.0,121.0,3293.0,104.0,2657.0,90.0,23.0,15.0,7.0,2.0
4,その他の化学工業,14,19910.0,17075.0,18.0,2016.0,0.0,793.0,9.0,8170.0,4447.0,3702.0,21.0
3,石油製品･石炭製品製造業,15,2952.0,1953.0,,343.0,,655.0,,852.0,363.0,455.0,34.0
3,プラスチック製品製造業,16,40336.0,19905.0,90.0,19587.0,,749.0,4.0,2240.0,1336.0,3.0,901.0
3,ゴム製品製造業,17,64868.0,29479.0,162.0,20843.0,3950.0,10078.0,355.0,592.0,548.0,44.0,
3,窯業・土石製品製造業,18,47986.0,19117.0,26.0,16838.0,1625.0,10064.0,316.0,2471.0,1057.0,1404.0,9.0
3,鉄鋼業,19,19774.0,14795.0,567.0,3655.0,90.0,664.0,3.0,831.0,,831.0,0.0
3,非鉄金属製造業,20,20281.0,17263.0,26.0,2605.0,1.0,338.0,48.0,3873.0,1444.0,2428.0,0.0
3,金属製品製造業,21,16502.0,11393.0,,4865.0,1.0,168.0,75.0,159.0,50.0,99.0,10.0
3,はん用機械器具製造業,22,112368.0,75155.0,982.0,14772.0,408.0,20723.0,328.0,10197.0,7004.0,3100.0,94.0
3,生産用機械器具製造業,23,67519.0,31548.0,113.0,14195.0,2930.0,15443.0,3289.0,10364.0,4526.0,5728.0,110.0
3,業務用機械器具製造業,24,17478.0,5008.0,,7726.0,317.0,4412.0,15.0,11456.0,9383.0,1736.0,338.0
3,電子部品・デバイス・電子回路製造業,25,44813.0,39133.0,184.0,940.0,,4556.0,,11675.0,7470.0,1969.0,2236.0
3,電気機械器具製造業,26,116586.0,60870.0,267.0,32934.0,1506.0,19991.0,1019.0,19206.0,13301.0,1696.0,4209.0
4,電子応用・電気計測器製造業,27,30483.0,7616.0,,7860.0,389.0,14459.0,160.0,4361.0,3572.0,693.0,96.0
4,その他の電気機械器具製造業,28,86103.0,53254.0,267.0,25074.0,1117.0,5532.0,859.0,14845.0,9729.0,1003.0,4113.0
3,情報通信機械器具製造業,29,60486.0,32848.0,758.0,19602.0,64.0,6306.0,907.0,30185.0,24439.0,3527.0,2218.0
3,輸送用機械器具製造業,30,2916948.0,1094338.0,29523.0,1541433.0,82159.0,153160.0,16334.0,47219.0,17992.0,24112.0,5115.0
4,自動車・同附属品製造業,31,2902169.0,1088547.0,29522.0,1534968.0,82159.0,150647.0,16327.0,42078.0,16139.0,20824.0,5115.0
4,その他の輸送用機械器具製造業,32,14779.0,5791.0,2.0,6466.0,0.0,2513.0,7.0,5141.0,1853.0,3288.0,
3,その他の製造業,33,32848.0,16091.0,498.0,12613.0,99.0,3322.0,225.0,10530.0,5746.0,4545.0,239.0
2,電気･ガス･熱供給･水道業,34,916.0,502.0,10.0,138.0,6.0,1.0,260.0,1931.0,1102.0,772.0,58.0
2,情報通信業,35,45876.0,27183.0,20.0,15801.0,,2758.0,114.0,175097.0,135376.0,32666.0,7055.0
3,通信業,36,,,,,,,,,,,
3,放送業,37,,,,,,,,,,,
3,情報サービス業,38,35441.0,21425.0,7.0,11705.0,,2191.0,113.0,169352.0,134799.0,32578.0,1976.0
3,インターネット附随・その他の情報通信業,39,,,,,,,,5745.0,577.0,88.0,5079.0
2,運輸業，郵便業,40,813.0,808.0,0.0,1.0,,,4.0,,,,
2,卸売業,41,117078.0,52293.0,1812.0,35506.0,1928.0,21090.0,4448.0,34399.0,24053.0,9358.0,988.0
2,金融業，保険業,42,,,,,,,,,,,
2,学術研究，専門・技術サービス業,43,153946.0,61790.0,1066.0,56726.0,755.0,30156.0,3453.0,17110.0,5657.0,7538.0,3914.0
3,学術・開発研究機関,44,30682.0,24820.0,,4587.0,,1274.0,,1307.0,953.0,245.0,109.0
3,専門サービス業(他に分類されないもの),45,83133.0,19645.0,609.0,50605.0,671.0,9614.0,1989.0,12511.0,3679.0,5694.0,3138.0
3,技術サービス業(他に分類されないもの),46,40131.0,17325.0,457.0,1534.0,84.0,19268.0,1464.0,3291.0,1025.0,1599.0,667.0
2,サービス業(他に分類されないもの),47,,,,,,,,,,,
